Family,pathogen_species,Disease,Reservoir_order,spill_type,Reservoir_spill_notes,Reservoir_spill_reference,CFR_low,CFR_high,CFR_avg,CFR_notes,CFR_reference,transmissibility,transmissibility_notes,transmissibility_reference,transmission_route_primary,transmission_route_notes,transmission_route_reference,Cell,cell_notes,cell_reference,Synonym,Type,Motility,Spore,PubMed.records.log
Legionellaceae,Fluoribacter gormanii,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,Legionella gormanii,https://link.springer.com/content/pdf/10.1007%2F978-1-4757-2191-1_16.pdf,Legionella gormanii,Bacteria,Motile,No,0.90309
Legionellaceae,Legionella birminghamensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.60206
Legionellaceae,Legionella cherrii,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Legionella cherryi,Bacteria,Motile,No,0.30103
Legionellaceae,Legionella cincinnatiensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1
Legionellaceae,Legionella hackeliae,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.90309
Legionellaceae,Legionella jordanis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.361728
Legionellaceae,Legionella lansingensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.30103
Legionellaceae,Legionella maceachernii,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,Legionellae are facultative intracellular,Joseph et al. 2016,Tatlockia maceachernii,Bacteria,Motile,No,1.041393
Legionellaceae,Legionella nagasakiensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.477121
Legionellaceae,Legionella oakridgensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,1.20412
Legionellaceae,Legionella parisiensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,Legionella parisensis,Bacteria,Motile,No,0.60206
Legionellaceae,Legionella sainthelensi,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.954243
Legionellaceae,Legionella tucsonensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.477121
Legionellaceae,Legionella wadsworthii,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,0.69897
Legionellaceae,Legionella londiniensis,Legionellosis; Legionnaires' disease,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Research Occupational Health Program Boston University, 2012",0.1,0.1,0.1,Case-fatality rate: 10%,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Santana-Porto et al. 2009",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Souder et al. 2018",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Souder et al. 2018",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Non-motile,No,1.079181
Borreliaceae,Borrelia recurrentis,Louse-borne relapsing fever,Primates,not_zoonotic,,"Warrell et al. 2019, World Health Organization, 2007",0.3,0.7,0.5,"CFR is 30-70% for untreated patients. But on average, in treated cases, 4-6% of patients die","doi: 10.1017/S0950268819000116, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6518520/#:~:text=Case%20fatalities%20between%2030%25%20and,%25%20will%20die%20%5B12%5D., World Health Organization, 2007",4,"When feeding on an infected human, the body louse will ingest Borrelia recurrentis.","https://www.ecdc.europa.eu/en/louse-borne-relapsing-fever/facts#:~:text=Transmission,louse%20will%20ingest%20Borrelia%20recurrentis. , World Health Organization, 2007",vector,human body louse,"https://www.cdc.gov/relapsing-fever/resources/louse.html , World Health Organization, 2007",Extracellular,NA,Shaw et al. 2020,Spiroschaudinnia recurrentis; Spirochaete recurrentis; Spirochaete obermeieri,Bacteria,Motile,No,2.068186
Thermomonosporaceae,Actinomadura madurae,Mycetoma,Environment,not_zoonotic,Specific bacteria strain has been found in soil,"van de Sande et al. 2014, Evangelista et al. 2010",0,0,0,This bacteria species is specifically associated with Madura foot (mycetoma on the foot),"Bonifaz et al. 2014, Taylor et al. 2015",0,transmissibility of disease not specific strain,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=Mycetoma%20is%20a%20disease%20caused,often%20on%20a%20person's%20foot. , Evangelista et al. 2010",via_environment,,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=cure%20the%20condition.-,Transmission,living%20conditions%20are%20likely%20involved. , Haake and Levett, 2015",unknown,NA,,Streptothrix madurae; Streptomyces madurae; Nocardia madurae,Bacteria,Non-motile,Yes,2.017033
Neisseriaceae,Neisseria meningitidis,Meningococcal disease; Meningococcal meningitis,Primates,not_zoonotic,Neisseria meningitidis only infects humans; there is no animal reservoir.,"https://www.who.int/news-room/fact-sheets/detail/meningococcal-meningitis, Ellis et al. 2002",0.042,0.042,0.042,There were 10 524 cases of MD and 441 deaths (4.2%).,"Heyderman et al. 2004, Snowden et al. 2021",4,,"https://www.cdc.gov/meningitis/bacterial.html#:~:text=in%20the%20bacteria.-,N.,lengthy%20(living%20together)%20contact. , Snowden et al. 2021",respiratory_droplets,,"https://www.cdc.gov/meningitis/bacterial.html#:~:text=in%20the%20bacteria.-,N.,lengthy%20(living%20together)%20contact. , Akhvlediani et al. 2018",Extracellular,NA,Shaw et al. 2020,"Neisseria weichselbaumii; Micrococcus meningitidis cerebrospinalis; Micrococcus meningitidis, etc.",Bacteria,Non-motile,No,3.893484
Streptomycetaceae,Streptomyces somaliensis,Mycetoma,Environment,not_zoonotic,Specific bacteria strain has been found in soil,"van de Sande et al. 2014, Evangelista et al. 2010",0,0,0,CFR for Actinomadura madurae,"Bonifaz et al. 2014, Taylor et al. 2015",0,transmissibility of disease not specific strain,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=Mycetoma%20is%20a%20disease%20caused,often%20on%20a%20person's%20foot. , Evangelista et al. 2010",via_environment,,"https://www.cdc.gov/fungal/diseases/mycetoma/index.html#:~:text=cure%20the%20condition.-,Transmission,living%20conditions%20are%20likely%20involved. , Haake and Levett, 2015",unknown,Molecular mechanisms of pathogenicity are unknown,Herbrik et al. 2020,Indiella somaliensis,Bacteria,Non-motile,Yes,1.863323
Alcaligenaceae,Bordetella pertussis,"Pertussis, Whooping cough",Primates,not_zoonotic,human pathogen,"https://www.cdc.gov/vaccines/pubs/pinkbook/pert.html#:~:text=Pertussis%20is%20a%20human%20disease,source%20of%20infection%20for%20infants., Bush et al. 2020",0.01,0.04,0.025,the average case-fatality ratio has been estimated at 4% in infants < 12 months and 1% in children 1â€“4 years old,"WHO-Pertussis, Bush et al. 2020",4,,"https://www.cdc.gov/pertussis/about/causes-transmission.html#:~:text=Pertussis%20is%20a%20very%20contagious,where%20you%20share%20breathing%20space. , Bush et al. 2020",respiratory_droplets,,"https://www.cdc.gov/pertussis/about/causes-transmission.html , Bush et al. 2020",Extracellular,NA,Shaw et al. 2020,"Microbe de la coqueluche; Hemophilus pertussis; Haemophilus pertussis, etc.",Bacteria,Non-motile,No,3.733358
Legionellaceae,"Tatlockia micdadei, Legionella micdadei",Pittsburgh pneumonia agent,Environment,not_zoonotic,"reservoir of disease not specific bacteria strain, substitute with Legionnaire's disease","WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, Reis et al. 2018",0.1,0.1,0.1,Proxied with CFR for Legionnaires' Disease,"https://www.cdc.gov/legionella/clinicians/clinical-features.html, Messoudi et al. 2012",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Karrakchou et al. 2020",via_environment,,",",Facultative intracellular,NA,Waldron et al. 2015,Legionella pittsburghensis; Legionella micdadei,Bacteria,Motile,No,1.20412
Legionellaceae,Legionella anisa,Pontiac fever,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, van Deuren et al. 2000",0,0,0,Case fatality rate: extremely low,"Nazarin et al. 2015, Mbaeyi et al. 2021",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Mbaeyi et al. 2021",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Mbaeyi et al. 2021",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.690196
Legionellaceae,Legionella feeleii,Pontiac fever,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, van Deuren et al. 2000",0,0,0,Case fatality rate: extremely low,"Nazarin et al. 2015, Mbaeyi et al. 2021",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Mbaeyi et al. 2021",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Mbaeyi et al. 2021",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,1.447158
Legionellaceae,Legionella longbeachae,Pontiac fever,Environment,not_zoonotic,reservoir of disease not specific bacteria strain,"WHO 2007, Legionella_ Drinking Water Health Advisory EPA 2001, van Deuren et al. 2000",0,0,0,Case fatality rate: extremely low,"Nazarin et al. 2015, Mbaeyi et al. 2021",0,"transmissibility of disease not specific strain, transmission of disease is through airborne water droplets (hot tubs, showers, air conditioners) not from another human","https://www.cdc.gov/legionella/about/prevention.html , Mbaeyi et al. 2021",via_environment,transmission of disease not specific strain,"https://www.cdc.gov/legionella/about/causes-transmission.html , Mbaeyi et al. 2021",Facultative intracellular,NA,Shaw et al. 2020,,Bacteria,Motile,No,2.161368
